Name	Set	ImageFile	Type	Class	VP	Flying	Size	Vitality	Vit. Red	OCB	Babes	Gold	Beer	Channeling	Channeler	Ranged attack	Command	Power stones	basic draw	LDL	MDL	LUC	Effect	Bonus	Script
Bulbous Clamjack	RE	BulbousClamjackMortalClamjackCommon1.png	mortal	Clamjack           			M 	5		1		G											When in Swamps, your enemy must beat you by at least 5 pts. or the match-up is a push.		
Bungee Bony Ridged	RE	BungeeBonyRidgedMortalGoblinUncommon1.png	mortal	Goblin             			S 	2		0		G											When played, opponent must discard all unplayed Goblins and Idiots in his/her Combat Hand.		
Captain	RE	CaptainMortalKnightCommon1.png	mortal	Knight             			M 	10		5	L												Immune to fear		
Captain Red Nose	RE	CaptainRedNoseMortalPirateRare2.png	mortal	Pirate             			M 	15		5	L	G	B										+4 Vitality to all your Pirates when Captain Red Nose is in play. Only one Pirate Captain per space per player.		
Cave Giant	RE	CaveGiantMortalGiantCommon1.png	mortal	Giant              			L 	12		5			B										When attacking a Stronghold, the Cave Giant's match-up opponent loses its Stronghold bonus.		
Cleric	RE	ClericMortalWizardUncommon1.png	mortal	Wizard             			M	4	6	0		G		C									Can heal one Mortal.		
Corporal	RE	CorporalMortalKnightCommon1.png	mortal	Knight             			M 	8		4	L												Immune to fear.		
Cow	RE	CowMortalBarnyardAnimalRare2.png	mortal	Barnyard Animal    			M 	2		0													3 pt. AOE methane attack. All affected Creatures can't attack and don't count toward victory, but can be attacked by secondary attackers.		
Desert Giant	RE	DesertGiantMortalGiantCommon1.png	mortal	Giant              			L 	14		5			B										Immune to fire.+4 in Dry Heaps		
Drooling Clamjack	RE	DroolingClamjackMortalClamjackCommon1.png	mortal	Clamjack           			S 	2		0			B										If beaten in combat, secondary attackers get a +4 Vitality instead of the normal +2.		
Elder Cave Giant	RE	ElderCaveGiantMortalGiantUncommon2.png	mortal	Giant              			L 	14		6			B										When attacking Stronghold, the Cave Giant's match-up opponent loses its Stronghold bonus.		
Floyd the Flying Pig	RE	FloydtheFlyingPigMortalBarnyardAnimalUncommon2.png	mortal	Barnyard Animal    		F	L	2		0							Y						All of your creatures are +2 Vitality. When played as a Command Card, Floyd is also destroyed.		
Gn'Obby Gnomes	RE	GnObbyGnomeMortalGnomeUncommon1.png	mortal	Gnome              			S 	4		0		G											The fountain of wisdom flows freely. Any that sample it may get more than their cup can hold.		
Gn'Olegable Gnomes	RE	GnOlegableGnomesMortalGnomeRare2.png	mortal	Gnome              			S 	5		0		G					Y						All your small Creatures receive +2 Vitality.		
Gn'Omish Gnomes	RE	GnOmishGnomesMortalGnomeCommon1.png	mortal	Gnome              			S 	4		1		G											+3 in the woods		
Grand Avatar	RE	GrandAvatarMortalWizardRare1.png	mortal	Wizard             			M	6	12	1		G		C	6								Can only accept channeling from the Guardian.		
Great Fanged Ogre	RE	GreatFangedOgreMortalOgreUncommon1.png	mortal	Ogre               			L 	13		4	L												No Channeling vs. Great Fanged. All your Ogres are +3 Vitality for each Great Fanged in play.		
Greedy Fiend	RE	GreedyFiendMortalFiendUncommon2.png	mortal	Fiend              			M 	1		0		G											No bribery by Gold allowed once the Greedy Fiend is in play unless Greedy Fiend is bribed first.		
Grilbus	RE	GrilbusMortalSlagBeastCommon1.png	mortal	Slag Beast         			M 	6		2													'+2 in Dry Heaps		
Gringe Commander	RE	GringeCommanderMortalSlagBeastRare2.png	mortal	Slag Beast         			M 	5		1		G					Y						All your Slag Beasts are +3 Vitality; this ability can't be dispelled. Only one Gringe Commander per space per player.		
Gunner	RE	GunnerMortalPirateCommon1.png	mortal	Pirate             			M	4	6	0	L	G	B			4							4 pt. ranged attack		
Haba Naba Daba  	RE	HabaNabaDabaMortalGoblinRare2.png	mortal	Goblin             			S 	5		2		G											Infernal racket confuses opponent.  Opponent in match-up loses any AOE atack.		
Haba Naba Kaba   	RE	HabaNabaKabaMortalGoblinCommon1.png	mortal	Goblin             			S 	4		2		G											When played, Infernal Racket stops opponent from using any ranged attacks.		
Horse	RE	HorseMortalBarnyardAnimalCommon1.png	mortal	Barnyard Animal    			L 	3		0							Y						Your first Knight played receives +6 Vitality.		
Huge Rock Giant	RE	HugeRockGiantMortalGiantUncommon2.png	mortal	Giant              			L 	16		2			B			6							+2 in the mountains		
Ice Ogre	RE	IceOgreMortalOgreCommon1.png	mortal	Ogre               			L 	9		2	L												No channeling vs. Ogre.+2 in the mountains		
Idiot	RE	IdiotMortalMisc.HumanRare2.png	mortal	Misc. Human			M	0		0	L	G	B										Dum Dee Dum, Dum Dee Dum, Dum Dee Dum, aahhh‚Ä¶		
Idiot Fiend	RE	IdiotFiendMortalFiendUncommon1.png	mortal	Fiend              			M 	6		0													8 pt. fear AOE attack that only affects Fairies. +4 Vitality vs. Fairies.		
Jibber	RE	JibberMortalPirateCommon1.png	mortal	Pirate             			M 	7		4	L	G	B										+1 in rivers and lakes		
Lancer	RE	LancerMortalKnightUncommon1.png	mortal	Knight             			M 	10		4			B										+10 vs. Large Creatures; -7 vs. Small Creatures.		
Mad Fiend	RE	MadFiendMortalFiendUncommon2.png	mortal	Fiend              			M 	1		0			B										No bribery by Beer allowed once the Mad Fiend is in play unless the Mad Fiend is bribed first.		
Major Party Animal	RE	MajorPartyAnimalMortalAnimalUncommon1.png	mortal	Animal        			L	4		0							Y						All creatures that can be bribed by beer can't fight and don't count towards control of the space (both sides). They can be attacked by secondary attackers		
Marshal	RE	MarshalMortalKnightUncommon1.png	mortal	Knight             			M 	11		4		G											+2 Vitality to all your Knights played while the Marshal is in play. Immune to fear.		
Master Gunner	RE	MasterGunnerMortalPirateUncommon1.png	mortal	Pirate             			M	6	8	1	L	G	B			5							5 pt. ranged attack.		
Merchant	RE	MerchantMortalMisc.HumanUncommon1.png	mortal	Misc. Human        			M	1	4	0	L												Destroys any Creature which can be bribed by Gold.		
Mule	RE	MuleMortalBarnyardAnimalCommon1.png	mortal	Barnyard Animal    			M 	2		0													Counts as 4 Vitality for control of space.		
Na'Boob	RE	NaBoobMortalSlagBeastRare1.png	mortal	Slag Beast         			L 	12		3													Immune to small creatures.+2 in Dry Heaps		
Paladin	RE	PaladinMortalKnightRare2.png	mortal	Knight             			M 	14		2				C									+4 Vitality to all your Knights played while Paladin is in play. All Mortals played after Paladin are immune to fear.		
Party Animal	RE	PartyAnimalMortalAnimalRare2.png	mortal	Animal             			M	1	4	0													Immune to any Creature that can be bribed.		
Pauly, Official Parrot	RE	PaulyOfficialParrotMortalPirateRare2.png	mortal	Pirate             		F	S	1		0							Y						Look at any one card in your opponent's Combat Hand.  If ANY of your Pirates survive, Pauly returns to your Shield. One per space per player.		
Pesky Varmit	RE	PeskyVarmitMortalVarmitCommon1.png	mortal	Varmit             			S 	3		0		G											+3 Vitality vs. medium-sized Creatures.		
Pig Dog	RE	PigDogMortalAnimalUncommon1.png	mortal	Animal             			L 	5		0		G											If you bribe with Babes while Pig Dog is in play, return Babes to your Storage Hand.		
Pink Flamingos	RE	PinkFlamingosMortalAnimalRare1.png	mortal	Animal             			L 	29		0			B										All Creatures are immune to Pink Flamingoes.		
Ploogak the Conqueror	RE	PloogaktheConquerorMortalSlagBeastRare2.png	mortal	Slag Beast         			M 	4		0													If Ploogak is alive after combat, add +2 Vitality to each living Slag Beast for control of the space. One per space per player.		
Polar Ice Ogre	RE	PolarIceOgreMortalOgreUncommon1.png	mortal	Ogre               			L 	10		0	L												No channeling vs. Polar Ice Ogre. +2 in the mountains		
Reverend Smilin' Jack	RE	ReverendSmilinJackMortalMisc.HumanRare2.png	mortal	Misc. Human        			M 	2		0	L	G	B				Y						If on a face down Terrain card that was once your Creature, you may use it in combat. After combat, any unbeaten Creature from your Shield may be used as Terrain.		
Rock Giant	RE	RockGiantMortalGiantCommon1.png	mortal	Giant			L	14		3		B				4							6 pt. ranged attack. +2 in the mountains		
Seer	RE	SeerMortalWizardCommon2.png	mortal	Wizard             			M 	5		0		G		C			Y						For the duration of combat, your opponent must declare the Size of Creatures in match-ups before you pick your Creatures.		
Shadow Spy	RE	ShadowSpyMortalShadowBrotherhoodUncommon1.png	mortal	Shadow Brotherhood 			M 	3		0				C			Y						Randomly pick the order that your opponent plays his cards in combat. He may used ranged attacks and secondary attackers normally.		
Shadow Warrior	RE	ShadowWarriorMortalShadowBrotherhoodRare2.png	mortal	Shadow Brotherhood 			M 	9		0							Y						Shadow Warrior may attack with +2 Vitality opponent's Up-Card provided it is a Creature. Opponent draws one less card next turn if Up-card is beaten.		
Slag Bunny	RE	SlagBunnyMortalSlagBeastUncommon1.png	mortal	Slag Beast         			M 	6		0		G											Immune to creatures that can be bribed by Babes. Can heal one Slag Beast. One per Slag Bunny per space per player.		
Sloarch	RE	SloarchMortalSlagBeastUncommon1.png	mortal	Slag Beast			M	14		3													+7 in Dry Heaps		
Snibs Bony Ridged	RE	SnibsBonyRidgedMortalGoblinUncommon1.png	mortal	Goblin             			S 	3		0		G			2								Can channel to Goblins only - even to Goblins that normally cannot accept channeling.		
Snogwart	RE	SnogwartMortalSlagBeastCommon1.png	mortal	Slag Beast         			M 	8		2													+3 in Dry Heaps		
Sorcerer	RE	SorcererMortalWizardRare2.png	mortal	Wizard             			M 	8		0		G		C			Y						4 pt. AOE fireball.		
Speckled Clamjack	RE	SpeckledClamjackMortalClamjackCommon1.png	mortal	Clamjack           			S 	6		1			B										+3 in the swamp		
Super Model	RE	SuperModelMortalMisc.HumanUncommon1.png	mortal	Misc Human         			M	1	4	0		G											Destroys any Creature bribable by Babes.		
Swordsman	RE	SwordsmanMortalKnightCommon2.png	mortal	Knight             			M 	6		3		G											The deceptions os steel are short-lived and the finality of truth is mutable. Only honor is the rock of certainty.		
Thackle	RE	ThackleMortalSlagBeastCommon1.png	mortal	Slag Beast         			L 	12		4													+4 in Dry Heaps		
Ugly Wart Fiend	RE	UglyWartFiendMortalFiendUncommon2.png	mortal	Fiend              			M 	1		0	L												No bribery by Babes allowed once Ugly Wart Fiend is in play unless the Ugly Wart Fiend is bribed first.		
Vampire Hunters	RE	VampireHuntersMortalMisc.HumanCommon1.png	mortal	Misc. Human        			M 	8		1	L												+10 Vitality vs. Undead.		
Varmit Archer	RE	VarmitArcherMortalVarmitCommon1.png	mortal	Varmit             			S 	2		0		G				1							1 pt. ranged attack		
Visionary	RE	VisionaryMortalWizardCommon2.png	mortal	Wizard             			M 	5		0		G		C			Y						For the duration of combat, your opponent must declare the Type (border color) of Creatures in match-ups before you pick your Creatures.		
Watcher	RE	WatcherMortalUncommon1.png	mortal				L	20		8													+4 in rivers and lakes		
Yard Rat	RE	YardRatMortalPirateUncommon2.png	mortal	Pirate			M	5		3	L	G	B										'+1 in rivers and lakes		
Buzzard	DI	BuzzardMortalBarnyardAnimalCommon4.png	mortal	Barnyard Animal    		F	S	3		0			B										+1 Vitality when used as a secondary attacker.		
Cabin Boy	DI	CabinBoyMortalPirateCommon4.png	mortal	Pirate             			M 	4		1	L	G	B										If an opponent tries to bribe one of your Pirates whie the Cabin Boy is in your combat hand, you can send the Cabin Boy to your Creature Pen instead.		
Captain Hannibal Hawks	DI	CaptainHannibalHawksMortalPirateRare2.png	mortal	Pirate             			M 	11		1	L	G	B										If the Captain is in play and unbeaten after primary attacks, you may choose to retreat your Shield and all unbeaten Creatures with it. Only one Captain per space, per player.		
Caring Guy	DI	CaringGuyMortalGuyCommon4.png	mortal	Guy                			M 	4		1	L												Immune to fear. +1 Vitality to Mortals on both sides while the Caring Guy is in play.		
Eagle-Eye McFinny	DI	EagleEyeMcFinnyMortalPirateRare3.png	mortal	Pirate             			M 	2		0	L	G	B				Y						+2 to all your ranged attacks.		
Fangis the Hunter	DI	FangistheHunterAnimalMortalAnimalCommon34.png	mortal	Animal             			M 	8		0													+6 Vitality vs. Externals. (Errata applies - Henchman type is misprint)		
Fangis the Hunter	DI	FangistheHunterHenchmanMortalHenchmanCommon14.png	mortal	Henchman			M 	8		0													+6 Vitality vs. Externals. (Errata applies - Henchman type is misprint)		
Farmer Brown	DI	FarmerBrownMortalMisc.HumanRare1.png	mortal	Misc Human         			M	6	10	0		G					Y						Detonate any Barnyard Animal during primary attacks to destroy both match-up Creatures; doesn't work on Guardians		
First Mate Muldoon	DI	FirstMateMuldoonMortalPirateCommon2.png	mortal	Pirate             			M 	6		2	L	G	B										Allows any non-flying, all-Pirate Shield to move one extra space, obeying all normal movement rules. Must show your opponent the Shield's contents when moving the extra space.		
Giant Aunts	DI	GiantAuntsMortalGiantCommon2.png	mortal	Giant              			L 	8		3			B										If the Giants Aunts win a primary match-up over an enemy's Stronghold card, the card immediately turns to rubble.		
Great Ba'te	DI	GreatBateMortalBateCommon1.png	mortal	Ba'te              			L 	24		6													Immune to secondary attacks from Elementals.		
Great Black Ri'shar	DI	GreatBlackRisharMortalRisharRare3.png	mortal	Ri'shar            		F	L	17		0													3 pt. AOE fear attack.		
Groatie	DI	GroatieMortalSlagBeastRare4.png	mortal	Slag Beast         			S 	3		1		G											+1 in Dry Heaps		
Gumbo Jake	DI	GumboJakeMortalMisc.HumanCommon2.png	mortal	Misc. Human        			M 	6		1			B										If Jake wins a primary match-up over an opponent's terrain space, his/her terrain card is immediately discarded.		
Hook Toed Gnasher	DI	HookToedGnasherMortalGnasherCommon2.png	mortal	Gnasher            			L 	12		3	L												If the Hook Toed Gnasher beats a small Creature during primary attacks, the small Creatures is destroyed.		
Knife of Shadow	DI	KnifeofShadowMortalShadowBrotherhoodCommon4.png	mortal	Shadow Brotherhood 			M	5	7	3							Y						If opponent's Up-Card is Creature, pick a card from his/her combat hand.  Compare its Base Vitality to the Base Vitality of that opponent's Up-card.  If the Up-card is lower, the card you picked is destroyed.		
Lying Scum	DI	LyingScumMortalPirateCommon4.png	mortal	Pirate             			M 	3		1	L	G	B										Counts as 4 Vitality for control of a space.		
Manly Guy	DI	ManlyGuyMortalGuyCommon1.png	mortal	Guy                			M 	8		0		G											Treat the text box on the Manly Guy's primary match-up opponent as empty for the duration of the combat.		
Necromancer	DI	NecromancerMortalWizardRare2.png	mortal	Wizard			M	5	8	0	L				5								Channels to Undead only.		
Rotten Guy	DI	RottenGuyMortalGuyCommon2.png	mortal	Guy			M	7	6	0		G											To wade the pools of malcontent is to acknowledge the loss of what could be.		
Scurvy Dog	DI	ScurvyDogMortalPirateRare3.png	mortal	Pirate             			S 	4		0						3							3 pt. ranged attack which can only be used if your current primary attacker is a Pirate		
Voodoo Wizard	DI	VoodooWizardMortalWizardCommon4.png	mortal	Wizard             			M 	3		0	L			C			Y						+4 Vitality to all of your secondary attackers.		
Weasly Guy	DI	WeaslyGuyMortalGuyCommon3.png	mortal	Guy                			M 	4		0	L	G	B										If the Weasly Guy loses a primary match-up by more than 4 Vitality, he immediately returns to your Creature Pen.		
Al' Jabah	DN	AlJabahMortalCreatureU1.png	mortal	Misc. Human        			M 	3		1		G					Y						If your opponent has more than one of the same Creature in his Combat Hand, they all immediately become Unchallenged Cars in melee. (Hey, you gotta dance.)		
Annoying Gnats in the Hood	DN	AnnoyingGnatsintheHoodMortalCreatureC4.png	mortal	Bug                			S 	3		0													Immune to fear and fire. 1 pt AOE fear attack, +1 pt. to the AOE for every other Bug you have in play.		
Arnath, Lord of the Skies	DN	ArnathLordoftheSkiesMortalCreatureU1.png	mortal	Knight             		F	L	6		0		G											Destroys any Creature which has the ability to fly.		
Black Locust	DN	BlackLocustMortalCreatureR1.png	mortal	Tragic/Bug         			S 	1		0							Y						Whichever player outbids the other in power stones wins control of this space.Locust's owner must start the biding at 1 power Stone.The winner must burn the number of stones he bids.Combat is cancelled and the Locust is discarded.Limit one per space per player		
Bruno Smashmouth, Union Boss	DN	BrunoSmashmouthUnionBossMortalCreatureC1.png	mortal	Misc. Human        			M 	5		1	L	G	B										While Bruno is in play, if any of your primary attackers matches up against a Creature from the same class, your opponent's Creature returns to his Creature Pen.		
Buzz, Vampire Mosquito	DN	BuzzVampireMosquitoMortalCreatureU3.png	mortal	Bug/Undead         		F	S	3		0				C									If Vampire beats an oppoent who has accepted channeling in this combat, your opponent loses 1 Power Stones.		
Caddy	DN	CaddyMortalCreatureC1.png	mortal	Giant              			L 	18		9		G											Destroys Gopher.		
Carrag the Black	DN	CarragtheBlackMortalCreatureR2.png	mortal	Wizard             			M 	5		0	L												+1 Vitality for each Undead in your discard pile.		
Chickenhead McCracken	DN	ChickenheadMcCrackenMortalCreatureU1.png	mortal	Outlaw             			M 	4		1		G											When Chickenhead is revealed as your Up-card, you may immediately remove up to 3 Gold Bribery Cards from your draw deck and add them to your Storage Hand. Reshuffle your draw deck afterwards.		
Clamjack Bomber	DN	ClamjackBomberMortalCreatureC3.png	mortal	Clamjack           			S 	4		1			B			3							3 pt. ranged attack that only works in Swamps.		
Crackhatch, at Large	DN	CrackhatchatLargeMortalCreatureU1.png	mortal	Slag Beast         			L 	17		0													Immune to ranged attacks, +8 Vitality vs. Externals.		
Dead-eye McGrue	DN	DeadeyeMcGrueMortalCreatureU3.png	mortal	Outlaw             			M 	5		1													Destroys any Creature which has a ranged attack.		
Eats, Cockroach King	DN	EatsCockroachKingMortalCreatureU2.png	mortal	Bug                			S	2	4	1	L												Immune to any Creature with an Off-Color Bonus of zero. Immune to fire.		
Giant Babe	DN	GiantBabeMortalCreatureC1.png	mortal	Giant              			L 	10		0		G											+10 Vitality vs. Creatures bribable by Babes.		
Giant Shaman	DN	GiantShamanMortalCreatureR3.png	mortal	Giant              			L 	4		0	L			C									While the Shaman is in play, all Giants can receive channeling, even if they normally cannot receive channeling.		
Goat	DN	GoatMortalCreatureU3.png	mortal	Barnyard Animal    			S 	4		0			B										If the Goat beats its primary match-up Creature, your opponent loses 1 Power Stone.		
Golden Fleecer	DN	GoldenFleecerMortalCreatureU3.png	mortal	Misc. Human        			M 	5		1		G											Destroys any Creature with the ability to destroy another Creature.  Fleecer cannot be destroyed.		
Golfer	DN	GolferMortalCreatureU2.png	mortal	Misc. Human        			M 	6		1	L		B			9							9 pt. ranged attack which can only be used against Large creatures.		
Gopher	DN	GopherMortalCreatureU4.png	mortal	Animal             			S 	3		1	L												If Gopher survives combat over an opponent's Terrain Card, immediately flip the Terrain Card to make it a Face-down Terrain. Destroys Golfer.		
Icky Bugs	DN	IckyBugsMortalCreatureC3.png	mortal	Bug                			S 	2		1		G											+4 Vitality vs. Creatures bribable by Gold.		
Jalupee Lobo	DN	JalupeeLoboMortalCreatureU4.png	mortal	Animal             			S 	1		1		G	B				Y						After both sides have picked, but not shown, match-up cards, you must guess the size of your opponent's Creature (S, M, or L). If you guess correctly, add 2 Vitality to your Creature's Vitality.		
Lizards of the Toast	DN	LizardsoftheToastMortalCreatureR3.png	mortal	Tragic             			S 	4		0	L												When the Lizards are played as a primary attacker, your opponent must show you all double-bordered cards in his Storage Hand and discard all Gold Bribery Cards.		
Phil, Bar Fly	DN	PhilBarFlyMortalCreatureC2.png	mortal	Bug                		F	S	3		1			B										+1 Vitality for each other Creature bribable by Beer in play		
Prince of the Lost	DN	PrinceoftheLostMortalCreatureC2.png	mortal	Knight			M	16		8		G											'+2 in Dry Heaps		
Professor Heisenburg	DN	ProfessorHeisenburgMortalCreatureR2.png	mortal	Misc. Human        			M 	1		1	L						Y						During primary match-ups, whenever you play a ranged attack, you may choose to roll 1d6. On a 5+, both your ranged attacker and its match-up opponent are destroyed.		
Red Master of Shadow	DN	RedMasterofShadowMortalCreatureC3.png	mortal	Shadow Brotherhood 			M 	6		0													If the Red Master survives a combat over an opponent's non-rubbled Stronghold Card, that opponent loses two random cards from his Creature Pen.		
River Giant	DN	RiverGiantMortal.png	mortal	Giant              			L 	12		3			B										When in Rivers and Lake, River Giant is immune to Elementals.		
Soggybottom Gertz	DN	SoggybottomGertzMortalCreatureR3.png	mortal	Outlaw             			M 	9		0			B										If Gertz is beaten in a match-up, you may immediately replace Gertz with any other Creature from your Combat Hand. The replacement Creature is considered beaten. Gertz returns to your Combat Hand.		
Tanniker Smith	DN	TannikerSmithMortalCreatureC1.png	mortal	Outlaw             			M 	7		0		G											+5 in Dry Heaps		
Thief of Shadow	DN	ThiefofShadowMortalCreatureU4.png	mortal	Shadow Brotherhood 			M 	5		0				C									If the Thief survives a combat over an opponent's non-rubbled Stronghold Card, your opponent loses 2 Power Stones.		
Tree Ogre	DN	TreeOgreMortalCreatureC2.png	mortal	Ogre			L	13		2	L												No channeling vs. Ogre.+4 in the woods		
Urufa, Queen of Goblins	DN	UrufaQueenofGoblinsMortalCreatureR4.png	mortal	Goblin             			S 	3		0		G					Y						In primary match-ups, your Goblins must be beaten by at least 5 pts. or the result is a push.		
Zelda, Bag Lady Bug	DN	ZeldaBagLadyBugMortalCreatureC2.png	mortal	Bug                			S 	2		0		G		C									+4 Vitality for each Item discarded from your Storage Hand.		
Blue Mountain Leechfoot	NP	BlueMountainLeechfootMortalCreatureUncom3.png	mortal	Leechfoot          			S 	8		1			B										If Leechfoot is beaten during primary match-ups, opponent must spend 1 Power Stone or Leechfoot returns to your Creature Pen at the end of combat.		
Buffy, Evil Hornbag	NP	BuffyEvilHornbagMortalCreatureUncom2.png	mortal	Hornbag            			M 	5		1		G											If Buffy survives her primary match-up, your opponent must show you all double-bordered cards in his Storage Hand and discard all of his Beer Bribery cards.		
Festus	NP	FestusMortalCreatureCommon2.png	mortal	Misc. Human        			M 	9		0			B										When fighting in Mountains, Festus destroys Externals.		
Humahuma	NP	HumahumaMortalCreatureCommon2.png	mortal	Misc. Human			M	1		0		G											Destroys Saurians.		
Ishtar, Queen of the Heap	NP	IshtarQueenoftheHeapMortalCreatureUncom1.png	mortal	Slag Beast         			M	3	9	0		G			5								channels to slag beasts only, even those that normally cannot accept channeling		
Judge Dredge 	NP	JudgeDredgeMortalCreatureUncom3.png	mortal	O-Men              			M 	6		2			B				Y						If this combat takes place on a Swamp, you gain 1 Power Stone.		
Kurgan, Blademaster of the Exiled 	NP	KurganBlademasteroftheExiledMortalCreatureCommon2.png	mortal	Knight             			M 	5		1		G	B										If this card is the only Knight in play, add +4 to Kurgan's Vitality. Immune to fear.		
Lucinda, Evil Hornbag	NP	LucindaEvilHornbagMortalCreatureUncom2.png	mortal	Hornbag            			L	5		1			B										If lucinda survives her primary match-up, your opponent must show you all double-bordered cards in his Storage Hand and discard all of his Gold Bribery Cards		
Mayor McEvil	NP	MayorMcEvilMortalCreatureCommon2.png	mortal	Mayor              			L 	5		1	L						Y						2 pt. AOE methane attack, +1 pt. for each Barnyard Animal immediately discarded from your Combat Hand.		
Mayor McFood	NP	MayorMcFoodMortalCreatureUncom1.png	mortal	Mayor              			L 	4		0			B				Y						No Barnyard Animals may be used during this combat. Set them off to one side of the combat. They do not count toward control of the space, but CAN be attacked by secondary attackers.		
Mayor McGreed	NP	MayorMcGreedMortalCreatureCommon2.png	mortal	Mayor              			L 	3		1		G					Y						You can use any Gold Bribery Card in your Storage Hand as a ranged attack witha point value equal to its Up-number, but only if your primary match-up Creature is a Barnyard Animal.		
Odious Clamjack	NP	OdiousClamjackMortalCreatureCommon2.png	mortal	Clamjack           			S 	6		0			B										2 pt. AOE, +1 point to the AOE for every Swamp in play.		
Rye Beaner	NP	RyeBeanerMortalCreatureUncom2.png	mortal	Local              			M 	-5		11	L	G	B	C			Y						Must be played as your Command Card. 3 pt. fire AOE that affects YOUR OWN Combat Hand. One local per space, per player.		
Sales Weasel	NP	SalesWeaselElementalCreatureUncom3.png	mortal	Animal             			S 	4		0		G											When the Weasel is your primary attacker, your opponent must burn a Power Stone or the Weasel gains +6 Vitality.		
Scamp Jones	NP	ScampJonesMortalCreatureUncom2.png	mortal	Local              			M 	-3		10	L	G	B	C			Y						Must be played as your Command Card. Does nothing. One Local per space, per player.		
Silver Server 	NP	SilverServerMortalCreatureCommon2.png	mortal	O-Men              		F	M	7		0													+3 Vitality when fighting on a Terrainless disputed land space.		
Sneaky Varmit	NP	SneakyVarmitMortalCreatureCommon2.png	mortal	Varmit             			S 	3		0		G											If Sneaky Varmit survives its primary match-up, opponent must discard one random card from his Creature Pen, if possible.		
Squibby	NP	SquibbyMortalCreatureUncom1.png	mortal	Slag Beast         			S 	2		0													When Squibby is revealed as your Up-Card, you may immediately add Squibby to any of your Shields currently on The Dry Heaps Terrain and reveal a new Up-Card.		
The Minx	NP	TheMinxMortalCreatureCommon2.png	mortal	Animal             			M 	4		1		G											If the Minx's primary match-up opponent is bribeable by Babes, the Minx immediately returns to your Combat Hand. Opponent's Creature remains as an Unchallenged Card in melee.		
Tiny Whining Cankerd	NP	TinyWhiningCankerdMortalCreatureCommon2.png	mortal	Cankerd            			S 	5		2		G											+5 Vitality vs. Creatures which are immune to fear.		
Wanda, Evil Hornbag	NP	WandaEvilHornbagMortalCreatureUncom2.png	mortal	Hornbag            			M 	5		1		G											If Wanda survives her primary match-up, your opponent must show you all double-bordered cards in his Storage Hand and discard all of his Babes Bribery cards.		
Shield Brom's Angelic 08	RE	ShieldBromsAngelic083ShieldStarter.png	shield					8																	
Shield Brom's Angelic 09	RE	ShieldBromsAngelic09ShieldStarter.png	shield					9																	
Shield Brom's Angelic 10	RE	ShieldBromsAngelic10ShieldStarter.png	shield					10																	
Shield Brom's Angelic 11	RE	ShieldBromsAngelic11ShieldStarter.png	shield					11																	
Shield Brom's Angelic 12	RE	ShieldBromsAngelic123ShieldStarter.png	shield					12																	
Shield Brom's Demonic 04	RE	ShieldBromsDemonic04ShieldStarter.png	shield					4																	
Shield Brom's Demonic 08	RE	ShieldBromsDemonic082ShieldStarter.png	shield					8																	
Shield Brom's Demonic 10 	RE	ShieldBromsDemonic103ShieldStarter.png	shield					10																	
Shield Brom's Demonic 12	RE	ShieldBromsDemonic12ShieldStarter.png	shield					12																	
Shield Brom's Demonic 14	RE	ShieldBromsDemonic142ShieldStarter.png	shield					14																	
Shield Brom's Dragon 07	RE	ShieldBromsDragon07ShieldStarter.png	shield					7																	
Shield Brom's Dragon 09	RE	ShieldBromsDragon09ShieldStarter.png	shield					9																	
Shield Brom's Dragon 10	RE	ShieldBromsDragon104ShieldStarter.png	shield					10																	
Shield Brom's Dragon 11	RE	ShieldBromsDragon11ShieldStarter.png	shield					11																	
Shield Brom's Dragon 13	RE	ShieldBromsDragon132ShieldStarter.png	shield					13																	
Shield Brom's Skull 06	RE	ShieldBromsSkull06ShieldStarter.png	shield					6																	
Shield Brom's Skull 07	RE	ShieldBromsSkull07ShieldStarter.png	shield					7																	
Shield Brom's Skull 08	RE	ShieldBromsSkull08ShieldStarter.png	shield					8																	
Shield Brom's Skull 09	RE	ShieldBromsSkull09ShieldStarter.png	shield					9																	
Shield Brom's Skull 10	RE	ShieldBromsSkull10ShieldStarter.png	shield					10																	
Shield Brom's Skull 11	RE	ShieldBromsSkull11ShieldStarter.png	shield					11																	
Shield Brom's Skull 12	RE	ShieldBromsSkull12ShieldStarter.png	shield					12																	
Shield Brom's Skull 13	RE	ShieldBromsSkull13ShieldStarter.png	shield					13																	
Shield Brom's Skull 14	RE	ShieldBromsSkull14ShieldStarter.png	shield					14																	
Shield Maitz's Insect 06	RE	ShieldMaitzsInsect06ShieldStarter.png	shield					6																	
Shield Maitz's Insect 07	RE	ShieldMaitzsInsect07ShieldStarter.png	shield					7																	
Shield Maitz's Insect 08	RE	ShieldMaitzsInsect08ShieldStarter.png	shield					8																	
Shield Maitz's Insect 10	RE	ShieldMaitzsInsect102ShieldStarter.png	shield					10																	
Shield Maitz's Insect 11	RE	ShieldMaitzsInsect11ShieldStarter.png	shield					11																	
Shield Maitz's Insect 12	RE	ShieldMaitzsInsect12ShieldStarter.png	shield					12																	
Shield Maitz's Insect 13	RE	ShieldMaitzsInsect13ShieldStarter.png	shield					13																	
Shield Maitz's Insect 14	RE	ShieldMaitzsInsect143ShieldStarter.png	shield					14																	
